# Wordlist

# DATA
ID	CONCEPT	COUNTERPART	DOCULECT	COGID	TOKENS	IPA
1237	*dugunθiz	*dugunθiz	Proto-Germanic	340	d u g u n θ	dugunθiz
1238	*dugunθiz	Tugend	German	340	t uː ɡ ə n t	tuːɡənt
1239	*dugunθiz	deugd	Dutch	340	d øː x t	døːxt
#
101	*duran	*duran	Proto-Germanic	29	d u r	duran
102	*duran	Tor	German	29	t oː r	toːr
103	*duran	door	English	29	d ɔː r	dɔːr
#
577	*dēdiz	*dēdiz	Proto-Germanic	159	d eː d	deːdiz
578	*dēdiz	Tat	German	159	t aː t	taːt
579	*dēdiz	deed	English	159	d iː d	diːd
580	*dēdiz	daad	Dutch	159	d aː t	daːt
#
1581	*dōnan	*dōnan	Proto-Germanic	434	d oː n	doːnan
1582	*dōnan	tun	German	434	t uː n	tuːn
1583	*dōnan	do	English	434	d uː	duː
1584	*dōnan	doen	Dutch	434	d uː n	duːn
#
54	*dūbōn	*dūbōn	Proto-Germanic	16	d uː b oː n	duːboːn
55	*dūbōn	Taube	German	16	t au b ə	taubə
56	*dūbōn	dove	English	16	d ʌ v	dʌv
57	*dūbōn	dove	Dutch	16	d oː v ə	doːvə
#
601	*end	*end	Proto-Germanic	166	e n d	end
602	*end	ein	German	166	ai n	ain
603	*end	one	English	166	ʋ ʌ n	ʋʌn
604	*end	een	Dutch	166	eː n	eːn
#
1345	*eni	*eni	Proto-Germanic	369	e n i	eni
1346	*eni	Matte	German	369	m a t ə	matə
1347	*eni	meadow	English	369	m ɛ d əʊ	mɛdəʊ
#
86	*erθo	*erθo	Proto-Germanic	25	e r θ o	erθo
87	*erθo	Erde	German	25	eː r d ə	eːrdə
88	*erθo	earth	English	25	ɜː θ	ɜːθ
89	*erθo	aarde	Dutch	25	aː r d ə	aːrdə
#
1330	*etanan	*etanan	Proto-Germanic	365	e t a n	etanan
1331	*etanan	essen	German	365	ɛ s ə n	ɛsən
1332	*etanan	eat	English	365	iː t	iːt
1333	*etanan	eten	Dutch	365	eː t ə	eːtə
#
909	*fadēr	*fadēr	Proto-Germanic	250	f a d eː r	fadeːr
910	*fadēr	Vater	German	250	f aː t ə r	faːtər
911	*fadēr	father	English	250	f ɑː ð ə r	fɑːðər
